params,accuracy,error
"{'C': 0.5, 'gamma': 'scale'}",0.7281666666666667,0.27183333333333326
"{'C': 0.5, 'gamma': 'auto'}",0.7274999999999998,0.2725000000000002
"{'C': 0.5, 'gamma': 0.01}",0.7238333333333333,0.27616666666666667
"{'C': 0.5, 'gamma': 0.001}",0.7198333333333333,0.2801666666666667
"{'C': 1, 'gamma': 'scale'}",0.728,0.272
"{'C': 1, 'gamma': 'auto'}",0.7280833333333332,0.2719166666666668
"{'C': 1, 'gamma': 0.01}",0.7250833333333333,0.2749166666666667
"{'C': 1, 'gamma': 0.001}",0.7283333333333333,0.2716666666666667
"{'C': 2, 'gamma': 'scale'}",0.7276666666666667,0.2723333333333333
"{'C': 2, 'gamma': 'auto'}",0.7290000000000001,0.2709999999999999
"{'C': 2, 'gamma': 0.01}",0.72475,0.27525
"{'C': 2, 'gamma': 0.001}",0.725,0.275
"{'C': 5, 'gamma': 'scale'}",0.72075,0.27925
"{'C': 5, 'gamma': 'auto'}",0.7264166666666666,0.2735833333333334
"{'C': 5, 'gamma': 0.01}",0.7253333333333333,0.2746666666666667
"{'C': 5, 'gamma': 0.001}",0.7275,0.27249999999999996
"{'C': 10, 'gamma': 'scale'}",0.7065833333333333,0.29341666666666666
"{'C': 10, 'gamma': 'auto'}",0.7202500000000001,0.27974999999999994
"{'C': 10, 'gamma': 0.01}",0.7269166666666667,0.27308333333333334
"{'C': 10, 'gamma': 0.001}",0.7274166666666666,0.2725833333333334
